x,y
0,34.48
1,35.8
2,37.12
3,38.44
4,39.76
5,41.08
6,42.4
7,43.72
8,45.04
9,46.36
10,47.68
11,49
12,50.32
13,51.64
14,52.96
15,54.28
16,55.6
17,56.92
18,58.24
19,59.56
20,60.88
21,62.2
22,63.52
23,64.84
24,66.16
25,67.48
26,68.8
27,70.12
28,71.44
29,72.76
30,74.08
31,75.4
32,76.72
33,78.04
34,79.36
35,80.68
36,82
37,83.32
38,84.64
39,85.96
40,87.28
41,88.6
42,89.92
43,91.24
44,92.56
45,93.88
46,95.2
47,96.52
48,97.84
49,99.16
50,100.48
51,101.8
52,103.12
53,104.44
54,105.76
55,107.08
56,108.4
57,109.72
58,111.04
59,112.36
60,113.68
61,115
62,116.32
63,117.64
64,118.96
65,120.28
66,121.6
67,122.92
68,124.24
69,125.56
70,126.88
71,128.2
72,129.52
73,130.84
74,132.16
75,133.48
76,134.8
77,136.12
78,137.44
79,138.76
80,140.08
81,141.4
82,142.72
83,144.04
84,145.36
85,146.68
86,148
87,149.32
88,150.64
89,151.96
90,153.28
91,154.6
92,155.92
93,157.24
94,158.56
95,159.88
96,161.2
97,162.52
98,163.84
99,165.16
