x,y
0,34.8
1,36.9
2,39
3,41.1
4,43.2
5,45.3
6,47.4
7,49.5
8,51.6
9,53.7
10,55.8
11,57.9
12,60
13,62.1
14,64.2
15,66.3
16,68.4
17,70.5
18,72.6
19,74.7
20,76.8
21,78.9
22,81
23,83.1
24,85.2
25,87.3
26,89.4
27,91.5
28,93.6
29,95.7
30,97.8
31,99.9
32,102
33,104.1
34,106.2
35,108.3
36,110.4
37,112.5
38,114.6
39,116.7
40,118.8
41,120.9
42,123
43,125.1
44,127.2
45,129.3
46,131.4
47,133.5
48,135.6
49,137.7
50,139.8
51,141.9
52,144
53,146.1
54,148.2
55,150.3
56,152.4
57,154.5
58,156.6
59,158.7
60,160.8
61,162.9
62,165
63,167.1
64,169.2
65,171.3
66,173.4
67,175.5
68,177.6
69,179.7
70,181.8
71,183.9
72,186
73,188.1
74,190.2
75,192.3
76,194.4
77,196.5
78,198.6
79,200.7
80,202.8
81,204.9
82,207
83,209.1
84,211.2
85,213.3
86,215.4
87,217.5
88,219.6
89,221.7
90,223.8
91,225.9
92,228
93,230.1
94,232.2
95,234.3
96,236.4
97,238.5
98,240.6
99,242.7
